,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised
52,89.248.165.51,172.16.1.96,1.0,2021-02-10 18:12:12,0.0,0,3.0567502356567114e-263
53,172.16.1.173,172.16.1.198,1.0,2021-02-10 18:12:13,100.0,0,1.9326384367332043e-236
54,172.16.1.10,194.177.34.116,1.0,2021-02-10 18:12:14,100.0,0,1.9326384367332043e-236
55,172.16.1.10,34.205.216.173,1.0,2021-02-10 18:12:14,100.0,0,1.9326384367332043e-236
56,172.16.1.162,172.16.1.168,3.0,2021-02-10 18:12:14,100.0,0,6.984424428757537e-235
57,172.16.1.168,172.16.1.162,3.0,2021-02-10 18:12:14,100.0,0,6.984424428757537e-235
58,172.16.1.173,172.16.1.10,1.0,2021-02-10 18:12:14,100.0,0,1.9326384367332043e-236
59,172.16.1.215,10.3.252.33,1.0,2021-02-10 18:12:14,100.0,0,1.9326384367332043e-236
60,35.168.5.6,172.16.1.10,1.0,2021-02-10 18:12:14,100.0,0,1.9326384367332043e-236
61,140.82.114.3,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
62,172.16.1.10,172.16.1.173,3.0,2021-02-10 18:12:16,100.0,0,6.984424428757537e-235
63,172.16.1.10,172.16.1.252,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
64,172.16.1.10,52.46.159.128,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
65,172.16.1.10,64.251.10.152,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
66,172.16.1.144,172.16.1.173,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
67,172.16.1.173,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
68,172.16.1.173,172.16.1.144,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
69,172.16.1.250,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
70,189.226.26.128,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
71,52.46.143.44,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
72,52.46.144.93,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
73,52.46.158.105,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
74,84.38.186.69,172.16.1.10,1.0,2021-02-10 18:12:16,100.0,0,1.9326384367332043e-236
75,172.16.1.173,172.16.1.198,5.0,2021-02-10 18:12:19,100.0,0,2.5241236888298634e-233
76,172.16.1.198,172.16.1.173,3.0,2021-02-10 18:12:19,100.0,0,6.984424428757537e-235
77,172.16.1.245,216.240.36.24,1.0,2021-02-10 18:12:19,100.0,0,1.9326384367332043e-236
78,216.240.36.24,172.16.1.245,1.0,2021-02-10 18:12:19,100.0,0,1.9326384367332043e-236
79,144.202.45.212,172.16.1.36,1.0,2021-02-10 18:12:20,0.0,0,3.0567502356567114e-263
80,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:20,100.0,0,1.9326384367332043e-236
81,172.16.1.148,172.16.1.187,1.0,2021-02-10 18:12:20,100.0,0,1.9326384367332043e-236
82,172.16.1.187,172.16.1.148,1.0,2021-02-10 18:12:20,100.0,0,1.9326384367332043e-236
83,172.16.1.36,52.44.104.29,1.0,2021-02-10 18:12:20,100.0,0,1.9326384367332043e-236
84,194.147.140.17,172.16.1.10,1.0,2021-02-10 18:12:20,100.0,0,1.9326384367332043e-236
85,52.44.104.29,172.16.1.36,1.0,2021-02-10 18:12:20,100.0,0,1.9326384367332043e-236
86,172.16.1.148,172.16.1.187,2.0,2021-02-10 18:12:21,100.0,0,1.1618247333171717e-235
87,172.16.1.176,172.16.1.187,1.0,2021-02-10 18:12:21,100.0,0,1.9326384367332043e-236
88,172.16.1.187,172.16.1.148,2.0,2021-02-10 18:12:21,100.0,0,1.1618247333171717e-235
89,172.16.1.187,172.16.1.176,1.0,2021-02-10 18:12:21,100.0,0,1.9326384367332043e-236
90,172.16.1.187,172.16.1.205,2.0,2021-02-10 18:12:21,100.0,0,1.1618247333171717e-235
91,172.16.1.196,172.16.1.52,2.0,2021-02-10 18:12:21,100.0,0,1.1618247333171717e-235
92,172.16.1.205,172.16.1.187,2.0,2021-02-10 18:12:21,100.0,0,1.1618247333171717e-235
93,172.16.1.52,172.16.1.196,2.0,2021-02-10 18:12:21,100.0,0,1.1618247333171717e-235
94,172.16.1.52,50.230.35.38,6.0,2021-02-10 18:12:21,100.0,0,1.5174019495291734e-232
95,50.230.35.38,172.16.1.52,6.0,2021-02-10 18:12:21,100.0,0,1.5174019495291734e-232
96,172.16.1.168,172.16.1.238,1.0,2021-02-10 18:12:22,100.0,0,1.9326384367332043e-236
97,172.16.1.238,172.16.1.168,1.0,2021-02-10 18:12:22,100.0,0,1.9326384367332043e-236
98,172.16.1.168,172.16.1.176,1.0,2021-02-10 18:12:23,100.0,0,1.9326384367332043e-236
99,172.16.1.176,172.16.1.168,1.0,2021-02-10 18:12:23,100.0,0,1.9326384367332043e-236
100,172.16.1.157,172.16.1.168,4.0,2021-02-10 18:12:24,100.0,0,4.198755905440192e-234
101,172.16.1.162,172.16.1.168,7.0,2021-02-10 18:12:24,100.0,0,9.12201207343606e-232
102,172.16.1.168,172.16.1.157,4.0,2021-02-10 18:12:24,100.0,0,4.198755905440192e-234
103,172.16.1.168,172.16.1.162,7.0,2021-02-10 18:12:24,100.0,0,9.12201207343606e-232
104,172.16.1.168,172.16.1.176,1.0,2021-02-10 18:12:24,100.0,0,1.9326384367332043e-236
105,172.16.1.168,172.16.1.238,2.0,2021-02-10 18:12:24,100.0,0,1.1618247333171717e-235
106,172.16.1.176,172.16.1.168,1.0,2021-02-10 18:12:24,100.0,0,1.9326384367332043e-236
107,172.16.1.196,172.16.1.96,1.0,2021-02-10 18:12:24,100.0,0,1.9326384367332043e-236
108,172.16.1.238,172.16.1.168,2.0,2021-02-10 18:12:24,100.0,0,1.1618247333171717e-235
109,172.16.1.96,172.16.1.196,1.0,2021-02-10 18:12:24,100.0,0,1.9326384367332043e-236
110,172.16.1.96,23.95.222.129,1.0,2021-02-10 18:12:24,100.0,0,1.9326384367332043e-236
111,194.147.140.67,172.16.1.96,1.0,2021-02-10 18:12:24,0.0,0,3.0567502356567114e-263
112,23.95.222.129,172.16.1.96,1.0,2021-02-10 18:12:24,100.0,0,1.9326384367332043e-236
113,10.3.252.99,172.16.1.196,54.0,2021-02-10 18:12:25,100.0,0,3.737841472668992e-195
114,172.16.1.178,172.16.1.224,1.0,2021-02-10 18:12:25,100.0,0,1.9326384367332043e-236
115,172.16.1.196,10.3.252.99,54.0,2021-02-10 18:12:25,100.0,0,3.737841472668992e-195
116,172.16.1.196,172.16.1.52,3.0,2021-02-10 18:12:25,100.0,0,6.984424428757537e-235
117,172.16.1.196,172.16.1.96,2.0,2021-02-10 18:12:25,100.0,0,1.1618247333171717e-235
118,172.16.1.224,172.16.1.178,1.0,2021-02-10 18:12:25,100.0,0,1.9326384367332043e-236
119,172.16.1.52,172.16.1.196,3.0,2021-02-10 18:12:25,100.0,0,6.984424428757537e-235
120,172.16.1.96,172.16.1.196,2.0,2021-02-10 18:12:25,100.0,0,1.1618247333171717e-235
121,172.16.1.187,172.16.1.205,1.0,2021-02-10 18:12:26,100.0,0,1.9326384367332043e-236
122,172.16.1.205,172.16.1.187,1.0,2021-02-10 18:12:26,100.0,0,1.9326384367332043e-236
123,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:27,100.0,0,1.9326384367332043e-236
124,172.16.1.10,172.16.1.241,1.0,2021-02-10 18:12:27,100.0,0,1.9326384367332043e-236
125,172.16.1.10,52.46.150.255,1.0,2021-02-10 18:12:27,100.0,0,1.9326384367332043e-236
126,172.16.1.162,172.16.1.173,1.0,2021-02-10 18:12:27,100.0,0,1.9326384367332043e-236
127,172.16.1.173,172.16.1.162,1.0,2021-02-10 18:12:27,100.0,0,1.9326384367332043e-236
128,52.46.150.255,172.16.1.10,1.0,2021-02-10 18:12:27,100.0,0,1.9326384367332043e-236
129,172.16.1.250,172.16.1.36,1.0,2021-02-10 18:12:29,100.0,0,1.9326384367332043e-236
130,172.16.1.36,172.16.1.250,1.0,2021-02-10 18:12:29,100.0,0,1.9326384367332043e-236
131,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
132,172.16.1.10,34.205.216.173,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
133,172.16.1.10,52.46.143.44,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
134,172.16.1.10,54.239.26.19,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
135,172.16.1.173,172.16.1.10,2.0,2021-02-10 18:12:30,100.0,0,1.1618247333171717e-235
136,172.16.1.196,172.16.1.52,2.0,2021-02-10 18:12:30,100.0,0,1.1618247333171717e-235
137,172.16.1.215,10.3.252.33,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
138,172.16.1.250,172.16.1.10,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
139,172.16.1.52,172.16.1.196,2.0,2021-02-10 18:12:30,100.0,0,1.1618247333171717e-235
140,172.16.1.52,50.230.35.38,7.0,2021-02-10 18:12:30,100.0,0,9.12201207343606e-232
141,50.230.35.38,172.16.1.52,7.0,2021-02-10 18:12:30,100.0,0,9.12201207343606e-232
142,54.239.26.19,172.16.1.10,1.0,2021-02-10 18:12:30,100.0,0,1.9326384367332043e-236
143,172.16.1.109,172.16.1.250,1.0,2021-02-10 18:12:31,100.0,0,1.9326384367332043e-236
144,172.16.1.162,172.16.1.168,1.0,2021-02-10 18:12:31,100.0,0,1.9326384367332043e-236
