,sourceIP,destIP,numOfRequest,time,acceptanceRate
96,172.16.1.168,172.16.1.238,1.0,1612980742.0,100.0
97,172.16.1.238,172.16.1.168,1.0,1612980742.0,100.0
98,172.16.1.168,172.16.1.176,1.0,1612980743.0,100.0
99,172.16.1.176,172.16.1.168,1.0,1612980743.0,100.0
100,172.16.1.157,172.16.1.168,4.0,1612980744.0,100.0
101,172.16.1.162,172.16.1.168,7.0,1612980744.0,100.0
102,172.16.1.168,172.16.1.157,4.0,1612980744.0,100.0
103,172.16.1.168,172.16.1.162,7.0,1612980744.0,100.0
104,172.16.1.168,172.16.1.176,1.0,1612980744.0,100.0
105,172.16.1.168,172.16.1.238,2.0,1612980744.0,100.0
106,172.16.1.176,172.16.1.168,1.0,1612980744.0,100.0
107,172.16.1.196,172.16.1.96,1.0,1612980744.0,100.0
108,172.16.1.238,172.16.1.168,2.0,1612980744.0,100.0
109,172.16.1.96,172.16.1.196,1.0,1612980744.0,100.0
110,172.16.1.96,23.95.222.129,1.0,1612980744.0,100.0
111,194.147.140.67,172.16.1.96,1.0,1612980744.0,0.0
112,23.95.222.129,172.16.1.96,1.0,1612980744.0,100.0
113,10.3.252.99,172.16.1.196,54.0,1612980745.0,100.0
114,172.16.1.178,172.16.1.224,1.0,1612980745.0,100.0
115,172.16.1.196,10.3.252.99,54.0,1612980745.0,100.0
116,172.16.1.196,172.16.1.52,3.0,1612980745.0,100.0
117,172.16.1.196,172.16.1.96,2.0,1612980745.0,100.0
118,172.16.1.224,172.16.1.178,1.0,1612980745.0,100.0
119,172.16.1.52,172.16.1.196,3.0,1612980745.0,100.0
120,172.16.1.96,172.16.1.196,2.0,1612980745.0,100.0
121,172.16.1.187,172.16.1.205,1.0,1612980746.0,100.0
122,172.16.1.205,172.16.1.187,1.0,1612980746.0,100.0
123,172.16.1.10,172.16.1.173,1.0,1612980747.0,100.0
124,172.16.1.10,172.16.1.241,1.0,1612980747.0,100.0
125,172.16.1.10,52.46.150.255,1.0,1612980747.0,100.0
126,172.16.1.162,172.16.1.173,1.0,1612980747.0,100.0
127,172.16.1.173,172.16.1.162,1.0,1612980747.0,100.0
128,52.46.150.255,172.16.1.10,1.0,1612980747.0,100.0
129,172.16.1.250,172.16.1.36,1.0,1612980749.0,100.0
130,172.16.1.36,172.16.1.250,1.0,1612980749.0,100.0
131,172.16.1.10,172.16.1.173,1.0,1612980750.0,100.0
132,172.16.1.10,34.205.216.173,1.0,1612980750.0,100.0
133,172.16.1.10,52.46.143.44,1.0,1612980750.0,100.0
134,172.16.1.10,54.239.26.19,1.0,1612980750.0,100.0
135,172.16.1.173,172.16.1.10,2.0,1612980750.0,100.0
136,172.16.1.196,172.16.1.52,2.0,1612980750.0,100.0
137,172.16.1.215,10.3.252.33,1.0,1612980750.0,100.0
138,172.16.1.250,172.16.1.10,1.0,1612980750.0,100.0
139,172.16.1.52,172.16.1.196,2.0,1612980750.0,100.0
140,172.16.1.52,50.230.35.38,7.0,1612980750.0,100.0
141,50.230.35.38,172.16.1.52,7.0,1612980750.0,100.0
142,54.239.26.19,172.16.1.10,1.0,1612980750.0,100.0
143,172.16.1.109,172.16.1.250,1.0,1612980751.0,100.0
144,172.16.1.162,172.16.1.168,1.0,1612980751.0,100.0
145,172.16.1.168,172.16.1.162,1.0,1612980751.0,100.0
146,172.16.1.176,172.16.1.178,1.0,1612980751.0,100.0
147,172.16.1.178,172.16.1.176,1.0,1612980751.0,100.0
148,172.16.1.250,172.16.1.109,1.0,1612980751.0,100.0
149,209.17.97.18,172.16.1.109,1.0,1612980751.0,0.0
150,172.16.1.10,172.16.1.173,1.0,1612980753.0,100.0
151,172.16.1.10,172.16.1.250,1.0,1612980753.0,100.0
152,172.16.1.10,52.46.150.26,1.0,1612980753.0,100.0
153,172.16.1.173,172.16.1.10,1.0,1612980753.0,100.0
154,172.16.1.241,172.16.1.10,1.0,1612980753.0,100.0
155,172.16.1.173,172.16.1.214,1.0,1612980754.0,100.0
156,172.16.1.214,172.16.1.173,1.0,1612980754.0,100.0
157,13.72.67.143,172.16.1.109,1.0,1612980755.0,100.0
158,172.16.1.109,13.72.67.143,1.0,1612980755.0,100.0
159,172.16.1.109,172.16.1.250,1.0,1612980755.0,100.0
160,172.16.1.250,172.16.1.109,1.0,1612980755.0,100.0
161,194.147.140.61,172.16.1.109,1.0,1612980755.0,0.0
162,194.147.140.94,172.16.1.109,1.0,1612980755.0,0.0
163,67.207.88.180,172.16.1.109,1.0,1612980755.0,0.0
164,10.3.252.99,172.16.1.196,25.0,1612980758.0,100.0
165,172.16.1.196,10.3.252.99,25.0,1612980758.0,100.0
166,172.16.1.196,172.16.1.52,3.0,1612980758.0,100.0
167,172.16.1.196,172.16.1.96,1.0,1612980758.0,100.0
168,172.16.1.52,172.16.1.196,3.0,1612980758.0,100.0
169,172.16.1.96,172.16.1.196,1.0,1612980758.0,100.0
170,172.16.1.196,172.16.1.52,2.0,1612980760.0,100.0
171,172.16.1.52,172.16.1.196,2.0,1612980760.0,100.0
172,172.16.1.52,50.230.35.38,4.0,1612980760.0,100.0
173,194.147.140.94,172.16.1.52,1.0,1612980760.0,0.0
174,50.230.35.38,172.16.1.52,4.0,1612980760.0,100.0
175,134.175.88.115,172.16.1.173,1.0,1612980761.0,0.0
176,170.130.187.14,172.16.1.173,1.0,1612980761.0,0.0
177,172.16.1.109,172.16.1.250,5.0,1612980761.0,100.0
178,172.16.1.144,172.16.1.173,2.0,1612980761.0,100.0
179,172.16.1.162,172.16.1.173,1.0,1612980761.0,100.0
180,172.16.1.173,172.16.1.144,2.0,1612980761.0,100.0
181,172.16.1.173,172.16.1.162,1.0,1612980761.0,100.0
182,172.16.1.173,172.16.1.198,4.0,1612980761.0,100.0
183,172.16.1.173,172.16.1.214,2.0,1612980761.0,100.0
184,172.16.1.173,52.46.144.93,1.0,1612980761.0,100.0
185,172.16.1.173,52.46.155.56,1.0,1612980761.0,100.0
186,172.16.1.173,52.46.158.105,1.0,1612980761.0,100.0
187,172.16.1.173,52.46.159.128,1.0,1612980761.0,100.0
188,172.16.1.173,54.239.26.19,1.0,1612980761.0,100.0
189,172.16.1.198,172.16.1.173,4.0,1612980761.0,100.0
190,172.16.1.214,172.16.1.173,2.0,1612980761.0,100.0
191,172.16.1.250,172.16.1.10,1.0,1612980761.0,100.0
192,172.16.1.250,172.16.1.109,5.0,1612980761.0,100.0
193,172.16.1.250,172.16.1.36,4.0,1612980761.0,100.0
194,172.16.1.250,34.205.216.173,1.0,1612980761.0,100.0
195,172.16.1.250,35.168.5.6,1.0,1612980761.0,100.0
196,172.16.1.36,172.16.1.250,4.0,1612980761.0,100.0
197,18.163.111.230,172.16.1.173,1.0,1612980761.0,0.0
198,185.236.11.2,172.16.1.173,1.0,1612980761.0,0.0
199,194.147.140.22,172.16.1.173,1.0,1612980761.0,0.0
200,194.147.140.31,172.16.1.173,1.0,1612980761.0,0.0
201,218.93.208.150,172.16.1.173,1.0,1612980761.0,0.0
202,34.205.216.173,172.16.1.250,1.0,1612980761.0,100.0
203,35.168.5.6,172.16.1.250,1.0,1612980761.0,100.0
204,43.242.242.42,172.16.1.173,1.0,1612980761.0,0.0
205,52.46.144.93,172.16.1.173,1.0,1612980761.0,100.0
206,52.46.155.56,172.16.1.173,1.0,1612980761.0,100.0
207,52.46.158.105,172.16.1.173,1.0,1612980761.0,100.0
208,52.46.159.128,172.16.1.173,1.0,1612980761.0,100.0
209,54.239.26.19,172.16.1.173,1.0,1612980761.0,100.0
210,89.109.32.120,172.16.1.173,1.0,1612980761.0,0.0
211,172.16.1.140,172.16.1.178,2.0,1612980762.0,100.0
212,172.16.1.176,172.16.1.178,1.0,1612980762.0,100.0
213,172.16.1.178,172.16.1.140,2.0,1612980762.0,100.0
214,172.16.1.178,172.16.1.176,1.0,1612980762.0,100.0
215,172.16.1.178,172.16.1.224,2.0,1612980762.0,100.0
216,172.16.1.224,172.16.1.178,2.0,1612980762.0,100.0
217,172.16.1.196,172.16.1.96,1.0,1612980763.0,100.0
218,172.16.1.96,172.16.1.196,1.0,1612980763.0,100.0
219,89.248.160.139,172.16.1.96,1.0,1612980763.0,0.0
220,10.3.252.99,172.16.1.196,50.0,1612980764.0,100.0
221,172.16.1.196,10.3.252.99,50.0,1612980764.0,100.0
222,172.16.1.196,172.16.1.96,2.0,1612980764.0,100.0
223,172.16.1.96,172.16.1.196,2.0,1612980764.0,100.0
224,172.16.1.162,172.16.1.168,3.0,1612980766.0,100.0
225,172.16.1.168,172.16.1.162,3.0,1612980766.0,100.0
226,172.16.1.173,172.16.1.198,1.0,1612980767.0,100.0
227,172.16.1.198,172.16.1.173,1.0,1612980767.0,100.0
228,172.16.1.250,172.16.1.36,1.0,1612980768.0,100.0
229,172.16.1.36,172.16.1.250,1.0,1612980768.0,100.0
230,172.16.1.36,52.44.104.29,1.0,1612980768.0,100.0
