,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
18,172.16.1.196,172.16.1.52,1174.0,2021-02-10 19:17:33,100.0,2,0.0002931360428316676,48.71369294605809
17,172.16.1.52,172.16.1.196,1174.0,2021-02-10 19:17:33,100.0,2,0.0002931360428316676,48.71369294605809
16,172.16.1.196,172.16.1.52,1166.0,2021-02-10 19:33:48,100.0,2,0.0004182185460514519,48.38174273858921
15,172.16.1.52,172.16.1.196,1166.0,2021-02-10 19:33:48,100.0,2,0.0004182185460514519,48.38174273858921
13,172.16.1.52,172.16.1.196,1156.0,2021-02-10 19:36:08,100.0,2,0.0006520594433703802,47.96680497925311
14,172.16.1.196,172.16.1.52,1156.0,2021-02-10 19:36:08,100.0,2,0.0006520594433703802,47.96680497925311
11,172.16.1.52,172.16.1.196,1124.0,2021-02-10 19:36:21,100.0,2,0.002697435314595553,46.63900414937759
10,172.16.1.196,172.16.1.52,1124.0,2021-02-10 19:36:21,100.0,2,0.002697435314595553,46.63900414937759
9,172.16.1.52,172.16.1.196,1058.0,2021-02-10 19:37:12,100.0,2,0.04834038628384532,43.90041493775934
8,172.16.1.196,172.16.1.52,1058.0,2021-02-10 19:37:12,100.0,2,0.04834038628384532,43.90041493775934
7,172.16.1.196,172.16.1.52,1046.0,2021-02-10 19:09:40,100.0,2,0.07968010559534151,43.40248962655602
6,172.16.1.52,172.16.1.196,1046.0,2021-02-10 19:09:40,100.0,2,0.07968010559534151,43.40248962655602
5,172.16.1.52,172.16.1.196,1030.0,2021-02-10 19:15:01,100.0,2,0.14985783833660637,42.738589211618255
4,172.16.1.196,172.16.1.52,1030.0,2021-02-10 19:15:01,100.0,2,0.14985783833660637,42.738589211618255
3,172.16.1.52,172.16.1.196,1016.0,2021-02-10 19:17:54,100.0,2,0.24719947230681635,42.15767634854772
2,172.16.1.196,172.16.1.52,1016.0,2021-02-10 19:17:54,100.0,2,0.24719947230681635,42.15767634854772
12,10.3.252.33,172.16.1.196,1010.0,2021-02-10 19:03:58,0.0,2,0.0009319685765694184,41.90871369294606
1,172.16.1.245,10.3.252.33,999.0,2021-02-10 18:47:40,100.0,2,0.4113994223588809,41.45228215767635
0,10.3.252.33,172.16.1.245,999.0,2021-02-10 18:47:40,100.0,2,0.4113994223588809,41.45228215767635
330,172.16.1.52,172.16.1.196,545.0,2021-02-10 19:38:08,100.0,1,0.9999999975224936,22.61410788381743
329,172.16.1.196,172.16.1.52,545.0,2021-02-10 19:38:08,100.0,1,0.9999999975224936,22.61410788381743
210,172.16.1.52,172.16.1.196,540.0,2021-02-10 18:59:49,100.0,1,0.9999999980160896,22.40663900414938
209,172.16.1.196,172.16.1.52,540.0,2021-02-10 18:59:49,100.0,1,0.9999999980160896,22.40663900414938
161,172.16.1.52,50.245.225.205,525.0,2021-02-10 18:17:21,100.0,1,0.999999998981306,21.78423236514523
162,50.245.225.205,172.16.1.52,525.0,2021-02-10 18:17:21,100.0,1,0.999999998981306,21.78423236514523
228,172.16.1.52,172.16.1.196,523.0,2021-02-10 19:02:54,100.0,1,0.999999999067934,21.70124481327801
227,172.16.1.196,172.16.1.52,523.0,2021-02-10 19:02:54,100.0,1,0.999999999067934,21.70124481327801
189,172.16.1.196,172.16.1.52,513.0,2021-02-10 18:50:20,100.0,1,0.9999999994023303,21.286307053941908
190,172.16.1.52,172.16.1.196,513.0,2021-02-10 18:50:20,100.0,1,0.9999999994023303,21.286307053941908
